shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_8b543360,33.737208,130.748806,205,5907.75
shape_R01_8b543360,33.737847,130.748912,206,5979.48
shape_R01_8b543360,33.738056,130.748918,207,6002.72
shape_R01_8b543360,33.738426,130.748932,208,6043.89
shape_R01_8b543360,33.738536,130.748898,209,6056.52
shape_R01_8b543360,33.738609,130.748846,210,6065.95
shape_R01_8b543360,33.738685,130.748757,211,6077.75
shape_R01_8b543360,33.738732,130.748638,212,6089.93
shape_R01_8b543360,33.738746,130.748536,213,6099.49
shape_R01_8b543360,33.738730,130.748404,214,6111.82
shape_R01_8b543360,33.738686,130.748290,215,6123.44
shape_R01_8b543360,33.738631,130.748190,216,6134.53
shape_R01_8b543360,33.738597,130.748083,217,6145.12
shape_R01_8b543360,33.738593,130.747979,218,6154.75
shape_R01_8b543360,33.738611,130.747886,219,6163.58
shape_R01_8b543360,33.738661,130.747761,220,6176.40
shape_R01_8b543360,33.738748,130.747626,221,6192.20
shape_R01_8b543360,33.738833,130.747564,222,6203.25
shape_R01_8b543360,33.738926,130.747383,223,6222.92
shape_R01_8b543360,33.739098,130.747104,224,6255.04
shape_R01_8b543360,33.739214,130.746983,225,6272.11
shape_R01_8b543360,33.739388,130.746806,226,6297.46
shape_R01_8b543360,33.739491,130.746686,227,6313.40
shape_R01_8b543360,33.739749,130.746302,228,6359.05
shape_R01_8b543360,33.739491,130.746686,229,6404.70
shape_R01_8b543360,33.739407,130.746784,230,6417.71
shape_R01_8b543360,33.739388,130.746806,231,6420.65
shape_R01_8b543360,33.739214,130.746983,232,6445.99
shape_R01_8b543360,33.739098,130.747104,233,6463.06
shape_R01_8b543360,33.738926,130.747383,234,6495.18
shape_R01_8b543360,33.738833,130.747564,235,6514.85
shape_R01_8b543360,33.738535,130.747386,236,6551.85
shape_R01_8b543360,33.738442,130.747267,237,6566.95
shape_R01_8b543360,33.737923,130.746522,238,6656.82
shape_R01_8b543360,33.737303,130.745640,239,6763.61
shape_R01_8b543360,33.737227,130.745514,240,6778.00
shape_R01_8b543360,33.735517,130.746580,241,6992.18
shape_R01_8b543360,33.735312,130.746705,242,7017.73
shape_R01_8b543360,33.734588,130.747174,243,7109.18
shape_R01_8b543360,33.734348,130.747295,244,7138.12
shape_R01_8b543360,33.734272,130.747205,245,7149.98
shape_R01_8b543360,33.734141,130.747049,246,7170.48
shape_R01_8b543360,33.733752,130.746634,247,7228.30
shape_R01_8b543360,33.733357,130.746180,248,7289.06
shape_R01_8b543360,33.733077,130.745861,249,7331.95
shape_R01_8b543360,33.732850,130.745625,250,7365.32
shape_R01_8b543360,33.732596,130.745383,251,7401.35
shape_R01_8b543360,33.732256,130.745028,252,7451.42
shape_R01_8b543360,33.732061,130.744893,253,7476.44
shape_R01_8b543360,33.731703,130.744705,254,7519.88
shape_R01_8b543360,33.731310,130.744555,255,7565.73
shape_R01_8b543360,33.730999,130.744468,256,7601.24
shape_R01_8b543360,33.730881,130.744711,257,7627.26
shape_R01_8b543360,33.730745,130.744669,258,7642.87
shape_R01_8b543360,33.730616,130.744621,259,7657.89
shape_R01_8b543360,33.730348,130.744543,260,7688.55
shape_R01_8b543360,33.730190,130.744481,261,7707.03
shape_R01_8b543360,33.730211,130.744395,262,7715.32
shape_R01_8b543360,33.730260,130.744106,263,7742.59
shape_R01_8b543360,33.730274,130.744063,264,7746.86
shape_R01_8b543360,33.730298,130.744004,265,7752.94
shape_R01_8b543360,33.730380,130.743887,266,7767.09
shape_R01_8b543360,33.730586,130.743520,267,7808.03
shape_R01_8b543360,33.730695,130.743064,268,7851.91
shape_R01_8b543360,33.730776,130.742852,269,7873.48
shape_R01_8b543360,33.730870,130.742712,270,7890.12
shape_R01_8b543360,33.731050,130.742503,271,7917.95
shape_R01_8b543360,33.731223,130.742350,272,7941.83
shape_R01_8b543360,33.731239,130.742324,273,7944.82
shape_R01_8b543360,33.731267,130.742280,274,7949.94
shape_R01_8b543360,33.731304,130.742221,275,7956.77
shape_R01_8b543360,33.731370,130.742072,276,7972.38
shape_R01_8b543360,33.731517,130.741575,277,8021.16
shape_R01_8b543360,33.731639,130.741347,278,8046.24
shape_R01_8b543360,33.731829,130.741162,279,8073.42
shape_R01_8b543360,33.731903,130.741102,280,8083.35
shape_R01_8b543360,33.732031,130.740999,281,8100.47
shape_R01_8b543360,33.732072,130.740961,282,8106.23
shape_R01_8b543360,33.732144,130.740881,283,8117.13
shape_R01_8b543360,33.732265,130.740646,284,8142.69
shape_R01_8b543360,33.732337,130.740389,285,8167.77
shape_R01_8b543360,33.732326,130.740294,286,8176.64
shape_R01_8b543360,33.732283,130.740091,287,8196.01
shape_R01_8b543360,33.732240,130.739764,288,8226.62
shape_R01_8b543360,33.732239,130.739753,289,8227.65
shape_R01_8b543360,33.732224,130.739662,290,8236.22
shape_R01_8b543360,33.732130,130.739678,291,8246.78
shape_R01_8b543360,33.731936,130.739703,292,8268.48
shape_R01_8b543360,33.731786,130.739698,293,8285.16
shape_R01_8b543360,33.731624,130.739600,294,8305.33
shape_R01_8b543360,33.731289,130.739520,295,8343.30
shape_R01_8b543360,33.731193,130.739413,296,8357.86
shape_R01_8b543360,33.731037,130.739194,297,8384.53
shape_R01_8b543360,33.730993,130.739119,298,8393.01
shape_R01_8b543360,33.730623,130.739078,299,8434.33
shape_R01_8b543360,33.730478,130.739049,300,8450.67
shape_R01_8b543360,33.730420,130.739028,301,8457.41
shape_R01_8b543360,33.730288,130.739026,302,8472.09
shape_R01_8b543360,33.730170,130.739074,303,8485.94
shape_R01_8b543360,33.730052,130.738982,304,8501.58
shape_R01_8b543360,33.729989,130.738947,305,8509.29
shape_R01_8b543360,33.730046,130.738825,306,8522.24
shape_R01_8b543360,33.730100,130.738607,307,8543.27
shape_R01_8b543360,33.730220,130.738277,308,8576.58
